department,quarter,class_name,professor_name,section,professor_rating,professor_difficulty,professor_num_ratings,professor_id,tags
Applied Mathematics,Spring25,AM100,Ashesh Chattopadhyay,Section 01,3.4,3.3,32,395890.0,"['Tough grader', 'Get ready to read', 'Group projects', 'Amazing lectures ', 'Respected']"
Applied Mathematics,Fall24,AM107,Nic Brummell,Section 01,4.1,3.4,43,970030.0,"['Amazing lectures ', 'Lots of homework', 'Hilarious', 'Clear grading criteria', 'Gives good feedback']"
Applied Mathematics,Winter25,AM112,Hongyun Wang,Section 01,4.5,3.2,55,2342194.0,"['Amazing lectures ', 'Caring', 'Clear grading criteria', 'Gives good feedback', 'Respected']"
Applied Mathematics,Fall24,AM114,Qi Gong,Section 01,4.3,2.3,94,1845707.0,"['Would take again', 'Clear grading criteria', 'Respected', 'Hilarious', 'Gives good feedback']"
Applied Mathematics,Fall24,AM129,Sean Michael Riedel,Section 01,4.6,3.3,25,1781037.0,"['Get ready to read', 'Amazing lectures ', 'Graded by few things', 'Participation matters', 'Gives good feedback']"
Applied Mathematics,Winter25,AM147,Javier Gonzalez-Rocha,Section 01,2.4,3.7,109,2541807.0,"['Caring', 'Accessible outside class', 'Hilarious', 'Participation matters', 'Gives good feedback']"
Applied Mathematics,Winter25,AM160,Ashesh Chattopadhyay,Section 01,3.4,3.3,32,395890.0,"['Tough grader', 'Get ready to read', 'Group projects', 'Amazing lectures ', 'Respected']"
Applied Mathematics,Winter25,AM170A,Pascale Garaud,Section 01,3.1,3.7,89,500767.0,"['Lots of homework', ""Skip class? You won't pass."", 'Lecture heavy', 'Tough grader', 'Participation matters']"
Applied Mathematics,Fall24,AM212,Pascale Garaud,Section 01,3.1,3.7,89,500767.0,"['Lots of homework', ""Skip class? You won't pass."", 'Lecture heavy', 'Tough grader', 'Participation matters']"
Applied Mathematics,Winter25,AM213A,Dongwook Lee,Section 01,4.2,3.1,103,268045.0,"['Get ready to read', 'Lecture heavy', 'Graded by few things', 'Respected', 'Gives good feedback']"
Applied Mathematics,Spring25,AM213B,Javier Gonzalez-Rocha,Section 01,2.4,3.7,109,2541807.0,"['Caring', 'Accessible outside class', 'Hilarious', 'Participation matters', 'Gives good feedback']"
Applied Mathematics,Fall24,AM217,Nic Brummell,Section 01,4.1,3.4,43,970030.0,"['Amazing lectures ', 'Lots of homework', 'Hilarious', 'Clear grading criteria', 'Gives good feedback']"
Applied Mathematics,Spring25,AM224,Daniele Venturi,Section 01,4.7,2.0,44,442107.0,"['Respected', 'Participation matters', 'Amazing lectures ', 'Clear grading criteria', 'EXTRA CREDIT']"
Applied Mathematics,Fall24,AM229,Marcella Gomez,Section 01,2.3,3.8,6,503172.0,[]
Applied Mathematics,Fall24,AM238,Daniele Venturi,Section 01,4.7,2.0,44,2051276.0,"['Amazing lectures ', 'Inspirational', 'Caring', 'Respected', 'EXTRA CREDIT']"
Applied Mathematics,Spring25,AM250,Nic Brummell,Section 01,4.1,3.4,43,362320.0,"['Get ready to read', 'Participation matters', ""Skip class? You won't pass."", 'Gives good feedback', 'Tough grader']"
Applied Mathematics,Spring25,AM260,Dongwook Lee,Section 01,4.2,3.1,103,1906264.0,"['Tough grader', 'Graded by few things', 'Lecture heavy', 'Tests are tough', 'Clear grading criteria']"
Applied Mathematics,Winter25,AM275,Nic Brummell,Section 01,4.1,3.4,43,970030.0,"['Amazing lectures ', 'Lots of homework', 'Hilarious', 'Clear grading criteria', 'Gives good feedback']"
Applied Mathematics,Fall24,AM280B,Javier Gonzalez-Rocha,Section 01,2.4,3.7,109,2541807.0,"['Caring', 'Accessible outside class', 'Hilarious', 'Participation matters', 'Gives good feedback']"
Applied Mathematics,Winter25,AM280B,Marcella Gomez,Section 01,2.3,3.8,6,503172.0,[]
Applied Mathematics,Spring25,AM280B,Ashesh Chattopadhyay,Section 01,3.4,3.3,32,3032495.0,"['Get ready to read', 'Lots of homework', 'Lecture heavy']"
Applied Mathematics,Fall24,AM280C,Dongwook Lee,Section 01,4.2,3.1,103,268045.0,"['Get ready to read', 'Lecture heavy', 'Graded by few things', 'Respected', 'Gives good feedback']"
Applied Mathematics,Winter25,AM280C,Nicholas H Brummell,Section 01,3.8,2.8,31,583502.0,"['Respected', 'Get ready to read', 'Clear grading criteria', 'Caring', 'Accessible outside class']"
Applied Mathematics,Spring25,AM280C,Pascale Garaud,Section 01,3.1,3.7,89,500767.0,"['Lots of homework', ""Skip class? You won't pass."", 'Lecture heavy', 'Tough grader', 'Participation matters']"
Applied Mathematics,Spring25,AM280C,Sang Eun Chun,Section 02,5.0,2.4,7,575221.0,"['Tough grader', ""Skip class? You won't pass."", 'Lots of homework', 'So many papers', 'Participation matters']"
Biomolecular Engineering,Fall24,BME5,Dianne G Hendricks,Section 01,2.1,3.4,8,1630403.0,[]
Biomolecular Engineering,Winter25,BME5,Nader Pourmand,Section 01,3.4,3.0,204,1190686.0,"['Tough grader', 'Get ready to read', 'Group projects', 'Clear grading criteria', 'Test heavy']"
Biomolecular Engineering,Fall24,BME18,David Haussler,Section 01,4.9,2.8,20,2151033.0,"['Respected', 'Inspirational', 'Amazing lectures ', 'Gives good feedback', 'Get ready to read']"
Biomolecular Engineering,Fall24,BME21L,Nader Pourmand,Section 01,3.4,3.0,204,215044.0,"['Gives good feedback', 'Get ready to read', 'Group projects', 'Tough grader', 'Clear grading criteria']"
Biomolecular Engineering,Winter25,BME21L,Nader Pourmand,Section 01,3.4,3.0,204,215044.0,"['Gives good feedback', 'Get ready to read', 'Group projects', 'Tough grader', 'Clear grading criteria']"
Biomolecular Engineering,Winter25,BME22L,Dianne G Hendricks,Section 01,2.1,3.4,8,355522.0,[]
Biomolecular Engineering,Spring25,BME22L,Dianne G Hendricks,Section 01,2.1,3.4,8,355522.0,[]
Biomolecular Engineering,Winter25,BME23L,David L Bernick,Section 01,4.9,2.8,20,2151033.0,"['Respected', 'Inspirational', 'Amazing lectures ', 'Gives good feedback', 'Get ready to read']"
Biomolecular Engineering,Spring25,BME23L,David L Bernick,Section 01,4.9,2.8,20,362963.0,"['Lots of homework', 'Participation matters', 'Respected', 'Inspirational', 'Hilarious']"
Biomolecular Engineering,Spring25,BME80G,Karen Miga,Section 01,4.5,3.7,78,564069.0,"['Amazing lectures ', 'Lecture heavy', 'Hilarious', 'Caring', 'Respected']"
Biomolecular Engineering,Fall24,BME80H,Karen Miga,Section 01,4.5,3.7,78,172322.0,"['Accessible outside class', 'Tough grader', 'Clear grading criteria', 'Graded by few things', ""Skip class? You won't pass.""]"
Biomolecular Engineering,Spring25,BME105,Angela Brooks,Section 01,4.0,2.9,13,860442.0,"['Tough grader', ""Skip class? You won't pass."", 'Lots of homework', 'Clear grading criteria', 'Respected']"
Biomolecular Engineering,Fall24,BME110,Angela Brooks,Section 01,4.0,2.9,13,357843.0,"['Tough grader', 'Participation matters', 'Would take again', ""Skip class? You won't pass."", 'Tests are tough']"
Biomolecular Engineering,Winter25,BME110,Alexander Ioannidis,Section 01,4.3,2.4,63,1890667.0,"['Beware of pop quizzes', 'Respected', 'Hilarious', 'Lecture heavy', 'EXTRA CREDIT']"
Biomolecular Engineering,Spring25,BME110,Ali Shariati,Section 01,4.1,3.1,11,2871938.0,"['EXTRA CREDIT', 'Amazing lectures ', 'Caring']"
Biomolecular Engineering,Spring25,BME110,Vanessa D Jonsson,Section 02,3.6,3.6,102,575784.0,"['Hilarious', 'Tough grader', 'Amazing lectures ', 'Clear grading criteria', 'Beware of pop quizzes']"
Biomolecular Engineering,Spring25,BME118,David Haussler,Section 01,4.9,2.8,20,2151033.0,"['Respected', 'Inspirational', 'Amazing lectures ', 'Gives good feedback', 'Get ready to read']"
Biomolecular Engineering,Winter25,BME122H,David L Bernick,Section 01,4.9,2.8,20,362963.0,"['Lots of homework', 'Participation matters', 'Respected', 'Inspirational', 'Hilarious']"
Biomolecular Engineering,Winter25,BME128,Andy H.W. Yeh,Section 01,4.9,2.7,53,2194067.0,"['Amazing lectures ', 'Caring', 'Clear grading criteria', 'Hilarious', 'Respected']"
Biomolecular Engineering,Spring25,BME128L,Andy H.W. Yeh,Section 01,4.9,2.7,53,2194067.0,"['Amazing lectures ', 'Caring', 'Clear grading criteria', 'Hilarious', 'Respected']"
Biomolecular Engineering,Spring25,BME128L,Andy Yeh,Section 02,4.9,2.7,53,962067.0,"['Lecture heavy', 'Graded by few things', 'EXTRA CREDIT', 'Amazing lectures ', 'Clear grading criteria']"
Biomolecular Engineering,Fall24,BME129A,Rebecca DuBois,Section 01,4.6,3.2,19,1918905.0,"['Caring', 'Gives good feedback', 'Accessible outside class', 'Participation matters', 'Clear grading criteria']"
Biomolecular Engineering,Winter25,BME129B,Russ Corbett-Detig,Section 01,1.8,3.5,2,1474316.0,[]
Biomolecular Engineering,Spring25,BME129C,Nader Pourmand,Section 01,3.4,3.0,204,1190686.0,"['Tough grader', 'Get ready to read', 'Group projects', 'Clear grading criteria', 'Test heavy']"
Biomolecular Engineering,Fall24,BME130,Ed Green,Section 01,3.3,2.8,63,133340.0,"['Get ready to read', 'Group projects', 'Lots of homework', 'Tough grader', 'Lecture heavy']"
Biomolecular Engineering,Fall24,BME132,Shelbi L Russell,Section 01,3.7,3.1,203,68200.0,"['Get ready to read', 'Tough grader', 'Respected', 'Hilarious', 'Lecture heavy']"
Biomolecular Engineering,Winter25,BME160,Tal Sharf,Section 01,4.3,2.5,19,2598437.0,"['Participation matters', 'Caring', 'Get ready to read', 'Clear grading criteria', 'Gives good feedback']"
Biomolecular Engineering,Spring25,BME160,David L Bernick,Section 01,4.9,2.8,20,2151033.0,"['Respected', 'Inspirational', 'Amazing lectures ', 'Gives good feedback', 'Get ready to read']"
Biomolecular Engineering,Spring25,BME163,Christopher S Vollmers,Section 01,4.3,2.5,72,638103.0,"['Get ready to read', 'Graded by few things', 'Amazing lectures ', 'Caring', 'Participation matters']"
Biomolecular Engineering,Winter25,BME175,Ed Green,Section 01,3.3,2.8,63,218123.0,"['Lots of homework', 'Tough grader', ""Skip class? You won't pass."", 'Clear grading criteria', 'Test heavy']"
Biomolecular Engineering,Spring25,BME177,Ali Shariati,Section 01,4.1,3.1,11,2917046.0,"['Tough grader', 'Get ready to read', 'EXTRA CREDIT', 'Clear grading criteria', 'Inspirational']"
Biomolecular Engineering,Winter25,BME180,David L Bernick,Section 01,4.9,2.8,20,2151033.0,"['Respected', 'Inspirational', 'Amazing lectures ', 'Gives good feedback', 'Get ready to read']"
Biomolecular Engineering,Fall24,BME185,Dianne G Hendricks,Section 01,2.1,3.4,8,1630403.0,[]
Biomolecular Engineering,Winter25,BME185,Dianne G Hendricks,Section 01,2.1,3.4,8,355522.0,[]
Biomolecular Engineering,Spring25,BME185,Dianne G Hendricks,Section 01,2.1,3.4,8,355522.0,[]
Biomolecular Engineering,Spring25,BME188A,David L Bernick,Section 01,4.9,2.8,20,2151033.0,"['Respected', 'Inspirational', 'Amazing lectures ', 'Gives good feedback', 'Get ready to read']"
Biomolecular Engineering,Winter25,BME201,Joshua M Stuart,Section 01,2.8,4.1,12,842560.0,"['Tough grader', 'Hilarious', 'Test heavy', 'Accessible outside class', 'Clear grading criteria']"
Biomolecular Engineering,Fall24,BME205,Russ Corbett-Detig,Section 01,1.8,3.5,2,2090826.0,"['Participation matters', 'So many papers']"
Biomolecular Engineering,Spring25,BME218,David Haussler,Section 01,4.9,2.8,20,110723.0,"['Participation matters', ""Skip class? You won't pass."", 'EXTRA CREDIT', 'Amazing lectures ', 'Clear grading criteria']"
Biomolecular Engineering,Winter25,BME230A,Vanessa D Jonsson,Section 01,3.6,3.6,102,823219.0,"['Tough grader', ""Skip class? You won't pass."", 'Get ready to read', 'Lots of homework', 'Lecture heavy']"
Biomolecular Engineering,Fall24,BME232,Shelbi L Russell,Section 01,3.7,3.1,203,318186.0,"['Would take again', 'EXTRA CREDIT', 'Amazing lectures ', 'Clear grading criteria', 'Hilarious']"
Biomolecular Engineering,Spring25,BME263,Chris Vollmers,Section 01,4.3,2.5,72,638103.0,"['Get ready to read', 'Graded by few things', 'Amazing lectures ', 'Caring', 'Participation matters']"
Biomolecular Engineering,Spring25,BME272,Daniel H. Kim,Section 01,3.0,3.3,155,429575.0,"['Get ready to read', ""Skip class? You won't pass."", 'Respected', 'Graded by few things']"
Biomolecular Engineering,Winter25,BME275,Ed Green,Section 01,3.3,2.8,63,218123.0,"['Lots of homework', 'Tough grader', ""Skip class? You won't pass."", 'Clear grading criteria', 'Test heavy']"
Biomolecular Engineering,Winter25,BME278,Daniel H. Kim,Section 01,3.0,3.3,155,429575.0,"['Get ready to read', ""Skip class? You won't pass."", 'Respected', 'Graded by few things']"
Biomolecular Engineering,Fall24,BME280B,Nader Pourmand,Section 01,3.4,3.0,204,215044.0,"['Gives good feedback', 'Get ready to read', 'Group projects', 'Tough grader', 'Clear grading criteria']"
Biomolecular Engineering,Winter25,BME280B,Daniel H. Kim,Section 01,3.0,3.3,155,429575.0,"['Get ready to read', ""Skip class? You won't pass."", 'Respected', 'Graded by few things']"
Biomolecular Engineering,Spring25,BME280B,Angela Brooks,Section 01,4.0,2.9,13,860442.0,"['Tough grader', ""Skip class? You won't pass."", 'Lots of homework', 'Clear grading criteria', 'Respected']"
Biomolecular Engineering,Fall24,BME281D,Rebecca DuBois,Section 01,4.6,3.2,19,363906.0,"['Test heavy', 'Tough grader', 'Lecture heavy', 'Amazing lectures ', 'Lots of homework']"
Biomolecular Engineering,Winter25,BME281D,Rebecca DuBois,Section 01,4.6,3.2,19,363906.0,"['Test heavy', 'Tough grader', 'Lecture heavy', 'Amazing lectures ', 'Lots of homework']"
Biomolecular Engineering,Spring25,BME281D,Rebecca DuBois,Section 01,4.6,3.2,19,1918905.0,"['Caring', 'Gives good feedback', 'Accessible outside class', 'Participation matters', 'Clear grading criteria']"
Biomolecular Engineering,Fall24,BME281E,Ed Green,Section 01,3.3,2.8,63,133340.0,"['Get ready to read', 'Group projects', 'Lots of homework', 'Tough grader', 'Lecture heavy']"
Biomolecular Engineering,Winter25,BME281E,Ed Green,Section 01,3.3,2.8,63,218123.0,"['Lots of homework', 'Tough grader', ""Skip class? You won't pass."", 'Clear grading criteria', 'Test heavy']"
Biomolecular Engineering,Spring25,BME281E,Ed Green,Section 01,3.3,2.8,63,133340.0,"['Get ready to read', 'Group projects', 'Lots of homework', 'Tough grader', 'Lecture heavy']"
Biomolecular Engineering,Fall24,BME281F,Camilla E Forsberg,Section 01,4.9,2.0,29,546131.0,"['Caring', 'Gives good feedback', 'Clear grading criteria', 'Participation matters', 'Amazing lectures ']"
Biomolecular Engineering,Winter25,BME281F,Camilla E Forsberg,Section 01,4.9,2.0,29,546131.0,"['Caring', 'Gives good feedback', 'Clear grading criteria', 'Participation matters', 'Amazing lectures ']"
Biomolecular Engineering,Spring25,BME281F,Camilla E Forsberg,Section 01,4.9,2.0,29,546131.0,"['Caring', 'Gives good feedback', 'Clear grading criteria', 'Participation matters', 'Amazing lectures ']"
Biomolecular Engineering,Spring25,BME281G,Ali Shariati,Section 01,4.1,3.1,11,2871938.0,"['EXTRA CREDIT', 'Amazing lectures ', 'Caring']"
Biomolecular Engineering,Fall24,BME281H,David Haussler,Section 01,4.9,2.8,20,110723.0,"['Participation matters', ""Skip class? You won't pass."", 'EXTRA CREDIT', 'Amazing lectures ', 'Clear grading criteria']"
Biomolecular Engineering,Winter25,BME281H,David Haussler,Section 01,4.9,2.8,20,110723.0,"['Participation matters', ""Skip class? You won't pass."", 'EXTRA CREDIT', 'Amazing lectures ', 'Clear grading criteria']"
Biomolecular Engineering,Spring25,BME281H,David Haussler,Section 01,4.9,2.8,20,2151033.0,"['Respected', 'Inspirational', 'Amazing lectures ', 'Gives good feedback', 'Get ready to read']"
Biomolecular Engineering,Fall24,BME281J,Benedict John Paten,Section 01,4.2,3.1,119,208021.0,"['Get ready to read', 'Respected', 'Amazing lectures ', 'Tough grader', 'Inspirational']"
Biomolecular Engineering,Winter25,BME281J,Benedict John Paten,Section 01,4.2,3.1,119,208021.0,"['Get ready to read', 'Respected', 'Amazing lectures ', 'Tough grader', 'Inspirational']"
Biomolecular Engineering,Spring25,BME281J,Benedict John Paten,Section 01,4.2,3.1,119,208021.0,"['Get ready to read', 'Respected', 'Amazing lectures ', 'Tough grader', 'Inspirational']"
Biomolecular Engineering,Fall24,BME281L,Todd M Lowe,Section 01,3.4,3.0,22,332299.0,[]
Biomolecular Engineering,Winter25,BME281L,Todd M Lowe,Section 01,3.4,3.0,22,332299.0,[]
Biomolecular Engineering,Spring25,BME281L,Todd M Lowe,Section 01,3.4,3.0,22,592505.0,"['Tough grader', 'Lecture heavy', 'Would take again', 'Hilarious', 'Test heavy']"
Biomolecular Engineering,Fall24,BME281M,Karen Miga,Section 01,4.5,3.7,78,564069.0,"['Amazing lectures ', 'Lecture heavy', 'Hilarious', 'Caring', 'Respected']"
Biomolecular Engineering,Winter25,BME281M,Karen Miga,Section 01,4.5,3.7,78,172322.0,"['Accessible outside class', 'Tough grader', 'Clear grading criteria', 'Graded by few things', ""Skip class? You won't pass.""]"
Biomolecular Engineering,Spring25,BME281M,Karen Miga,Section 01,4.5,3.7,78,172322.0,"['Accessible outside class', 'Tough grader', 'Clear grading criteria', 'Graded by few things', ""Skip class? You won't pass.""]"
Biomolecular Engineering,Fall24,BME281N,Angela Brooks,Section 01,4.0,2.9,13,357843.0,"['Tough grader', 'Participation matters', 'Would take again', ""Skip class? You won't pass."", 'Tests are tough']"
Biomolecular Engineering,Winter25,BME281N,Angela Brooks,Section 01,4.0,2.9,13,860442.0,"['Tough grader', ""Skip class? You won't pass."", 'Lots of homework', 'Clear grading criteria', 'Respected']"
Biomolecular Engineering,Spring25,BME281N,Angela Brooks,Section 01,4.0,2.9,13,860442.0,"['Tough grader', ""Skip class? You won't pass."", 'Lots of homework', 'Clear grading criteria', 'Respected']"
Biomolecular Engineering,Fall24,BME281P,Nader Pourmand,Section 01,3.4,3.0,204,215044.0,"['Gives good feedback', 'Get ready to read', 'Group projects', 'Tough grader', 'Clear grading criteria']"
Biomolecular Engineering,Winter25,BME281P,Nader Pourmand,Section 01,3.4,3.0,204,215044.0,"['Gives good feedback', 'Get ready to read', 'Group projects', 'Tough grader', 'Clear grading criteria']"
Biomolecular Engineering,Spring25,BME281P,Nader Pourmand,Section 01,3.4,3.0,204,1190686.0,"['Tough grader', 'Get ready to read', 'Group projects', 'Clear grading criteria', 'Test heavy']"
Biomolecular Engineering,Fall24,BME281R,Daniel H. Kim,Section 01,3.0,3.3,155,429575.0,"['Get ready to read', ""Skip class? You won't pass."", 'Respected', 'Graded by few things']"
Biomolecular Engineering,Winter25,BME281R,Daniel H. Kim,Section 01,3.0,3.3,155,429575.0,"['Get ready to read', ""Skip class? You won't pass."", 'Respected', 'Graded by few things']"
Biomolecular Engineering,Spring25,BME281R,Daniel H. Kim,Section 01,3.0,3.3,155,180785.0,"['Lecture heavy', 'Tough grader', 'Test heavy', ""Skip class? You won't pass."", 'Graded by few things']"
Biomolecular Engineering,Fall24,BME281T,Tal Sharf,Section 01,4.3,2.5,19,2598437.0,"['Participation matters', 'Caring', 'Get ready to read', 'Clear grading criteria', 'Gives good feedback']"
Biomolecular Engineering,Fall24,BME281V,Chris Vollmers,Section 01,4.3,2.5,72,638103.0,"['Get ready to read', 'Graded by few things', 'Amazing lectures ', 'Caring', 'Participation matters']"
Biomolecular Engineering,Winter25,BME281V,Chris Vollmers,Section 01,4.3,2.5,72,43843.0,"['Get ready to read', 'Respected', 'Inspirational', 'Lecture heavy', 'Amazing lectures ']"
Biomolecular Engineering,Spring25,BME281V,Chris Vollmers,Section 01,4.3,2.5,72,43843.0,"['Get ready to read', 'Respected', 'Inspirational', 'Lecture heavy', 'Amazing lectures ']"
Biomolecular Engineering,Fall24,BME281X,Shelbi L Russell,Section 01,3.7,3.1,203,318186.0,"['Would take again', 'EXTRA CREDIT', 'Amazing lectures ', 'Clear grading criteria', 'Hilarious']"
Biomolecular Engineering,Winter25,BME281X,Shelbi L Russell,Section 01,3.7,3.1,203,68200.0,"['Get ready to read', 'Tough grader', 'Respected', 'Hilarious', 'Lecture heavy']"
Biomolecular Engineering,Spring25,BME281X,Shelbi L Russell,Section 01,3.7,3.1,203,318186.0,"['Would take again', 'EXTRA CREDIT', 'Amazing lectures ', 'Clear grading criteria', 'Hilarious']"
Biomolecular Engineering,Spring25,BME281Y,Andy H.W. Yeh,Section 01,4.9,2.7,53,962067.0,"['Lecture heavy', 'Graded by few things', 'EXTRA CREDIT', 'Amazing lectures ', 'Clear grading criteria']"
Biomolecular Engineering,Fall24,BME281Z,Russ Corbett-Detig,Section 01,1.8,3.5,2,2090826.0,"['Participation matters', 'So many papers']"
Biomolecular Engineering,Winter25,BME281Z,Russ Corbett-Detig,Section 01,1.8,3.5,2,1474316.0,[]
Biomolecular Engineering,Spring25,BME281Z,Russ Corbett-Detig,Section 01,1.8,3.5,2,2090826.0,"['Participation matters', 'So many papers']"
Computational Media,Fall24,CMPM15,David Manuel Torres-Mendoza,Section 01,4.9,2.8,20,362963.0,"['Lots of homework', 'Participation matters', 'Respected', 'Inspirational', 'Hilarious']"
Computational Media,Winter25,CMPM15,David Manuel Torres-Mendoza,Section 01,4.9,2.8,20,2151033.0,"['Respected', 'Inspirational', 'Amazing lectures ', 'Gives good feedback', 'Get ready to read']"
Computational Media,Spring25,CMPM15,David Manuel Torres-Mendoza,Section 01,4.9,2.8,20,2151033.0,"['Respected', 'Inspirational', 'Amazing lectures ', 'Gives good feedback', 'Get ready to read']"
Computational Media,Fall24,CMPM17,Tela Favaloro,Section 01,4.6,2.6,11,2379487.0,"['Gives good feedback', 'Caring', 'Clear grading criteria', 'Accessible outside class', 'Participation matters']"
Computational Media,Fall24,CMPM17,Tela Favaloro,Section 02,4.6,2.6,11,2379487.0,"['Gives good feedback', 'Caring', 'Clear grading criteria', 'Accessible outside class', 'Participation matters']"
Computational Media,Fall24,CMPM17,Tela Favaloro,Section 03,4.6,2.6,11,2379487.0,"['Gives good feedback', 'Caring', 'Clear grading criteria', 'Accessible outside class', 'Participation matters']"
Computational Media,Fall24,CMPM17,Tela Favaloro,Section 04,4.6,2.6,11,2379487.0,"['Gives good feedback', 'Caring', 'Clear grading criteria', 'Accessible outside class', 'Participation matters']"
Computational Media,Winter25,CMPM17,Tela Favaloro,Section 01,4.6,2.6,11,2379487.0,"['Gives good feedback', 'Caring', 'Clear grading criteria', 'Accessible outside class', 'Participation matters']"
Computational Media,Winter25,CMPM17,Tela Favaloro,Section 02,4.6,2.6,11,2379487.0,"['Gives good feedback', 'Caring', 'Clear grading criteria', 'Accessible outside class', 'Participation matters']"
Computational Media,Winter25,CMPM17,Tela Favaloro,Section 03,4.6,2.6,11,2379487.0,"['Gives good feedback', 'Caring', 'Clear grading criteria', 'Accessible outside class', 'Participation matters']"
Computational Media,Fall24,CMPM25,Chris Yonge,Section 01,4.3,2.5,72,638103.0,"['Get ready to read', 'Graded by few things', 'Amazing lectures ', 'Caring', 'Participation matters']"
Computational Media,Winter25,CMPM26,Chris Yonge,Section 01,4.3,2.5,72,638103.0,"['Get ready to read', 'Graded by few things', 'Amazing lectures ', 'Caring', 'Participation matters']"
Computational Media,Spring25,CMPM27,Chris Yonge,Section 01,4.3,2.5,72,1589417.0,"['Clear grading criteria', 'Gives good feedback', 'Accessible outside class', 'Respected', 'Graded by few things']"
Computational Media,Fall24,CMPM80J,Samantha Gorman,Section 01,4.6,2.8,43,2669812.0,"['Amazing lectures ', 'Clear grading criteria', 'Caring', 'Accessible outside class', 'Inspirational']"
Computational Media,Winter25,CMPM80J,Nathan Altice,Section 01,2.5,3.3,103,1878961.0,"['Participation matters', 'Clear grading criteria', 'Would take again', 'Lots of homework', 'Beware of pop quizzes']"
Computational Media,Spring25,CMPM80J,Nathan Altice,Section 01,2.5,3.3,103,1984011.0,"['Lots of homework', 'EXTRA CREDIT', 'Caring', 'Accessible outside class', 'Tough grader']"
Computational Media,Fall24,CMPM80K,Noah G Wardrip-Fruin,Section 01,2.9,2.2,25,1159648.0,"['So many papers', 'Get ready to read', 'Lecture heavy', 'Tough grader', 'Lots of homework']"
Computational Media,Winter25,CMPM80K,Kate Ringland,Section 01,2.5,3.6,161,2450605.0,"['Lots of homework', 'Tough grader', 'Beware of pop quizzes', 'Caring', 'Get ready to read']"
Computational Media,Spring25,CMPM80K,Noah G Wardrip-Fruin,Section 01,2.9,2.2,25,1254797.0,"['Group projects', 'Lots of homework', 'Get ready to read', 'So many papers', 'Lecture heavy']"
Computational Media,Winter25,CMPM110,Noah G Wardrip-Fruin,Section 01,2.9,2.2,25,1254797.0,"['Group projects', 'Lots of homework', 'Get ready to read', 'So many papers', 'Lecture heavy']"
Computational Media,Fall24,CMPM115,Tela Favaloro,Section 01,4.6,2.6,11,2379487.0,"['Gives good feedback', 'Caring', 'Clear grading criteria', 'Accessible outside class', 'Participation matters']"
Computational Media,Spring25,CMPM115,Tela Favaloro,Section 01,4.6,2.6,11,2379487.0,"['Gives good feedback', 'Caring', 'Clear grading criteria', 'Accessible outside class', 'Participation matters']"
